,,,,,,,,,,,ORDEN,SERVICIO,,,
,,,,,,,,,,,5,,4,3,2
ORIGEN,LINEA,DESTINO,TIPO/NEGOCIACION,DIAS LIBRES,VIGENCIA DESDE ,VIGENCIA HASTA,AGENTE,CONTRATO,TT,MONEDA,20 GP,,40 GP,40 HC,40 NOR
BANGKOK,ZIM INTEGRATED SHIPPING SERVICES,GUAYAQUIL,AGENTE PROPIO,21,05/01/2026,07/01/2026,AIR SEA WORLDWIDE (CHINA) LTD.                                                                      ,7110442322,29-33,DOLAR,"$ 1,190.00",,"$ 1,340.00","$ 1,340.00",
BANGKOK,ZIM INTEGRATED SHIPPING SERVICES,GUAYAQUIL,AGENTE PROPIO,21,08/01/2026,09/01/2026,AIR SEA WORLDWIDE (CHINA) LTD.                                                                      ,7110442322,29-33,DOLAR,"$ 1,165.00",,"$ 1,315.00","$ 1,315.00",
BANGKOK,ZIM INTEGRATED SHIPPING SERVICES,GUAYAQUIL,AGENTE PROPIO,21,10/01/2026,14/01/2026,AIR SEA WORLDWIDE (CHINA) LTD.                                                                      ,7110442322,29-33,DOLAR,"$ 1,115.00",,"$ 1,215.00","$ 1,215.00",
BANGKOK,ZIM INTEGRATED SHIPPING SERVICES,GUAYAQUIL,AGENTE PROPIO,14,05/01/2026,08/01/2026,RS LOGISTICS LIMITED                                                                                ,RSLOG,41-41,DOLAR,"$ 1,190.00",,"$ 1,340.00","$ 1,340.00",
BANGKOK,ZIM INTEGRATED SHIPPING SERVICES,GUAYAQUIL,AGENTE PROPIO,14,15/01/2026,18/01/2026,RS LOGISTICS LIMITED                                                                                ,RSLOG,41-41,DOLAR,"$ 1,015.00",,"$ 1,115.00","$ 1,115.00",
BARCELONA,CMA-CGM,GUAYAQUIL,AGENTE PROPIO,14,01/01/2026,31/01/2026,TRANSMEC DE BORTOLI GROUP ESPAÑA                                                                    ,TRANSMEC,30-32,EUROS,"€ 1,030.00",,"€ 1,790.00","€ 1,790.00",
BARCELONA,CMA-CGM,GUAYAQUIL,DIRECTA,14,01/01/2026,31/03/2026,                                                                                                    ,QFARN0000005,29-31,EUROS,"€ 1,490.00",,"€ 2,380.00","€ 2,380.00",
BARCELONA,CMA-CGM,POSORJA,DIRECTA,14,01/01/2026,31/03/2026,                                                                                                    ,QFARN0000005,28-30,EUROS,"€ 1,490.00",,"€ 2,380.00","€ 2,380.00",
BARCELONA,MEDITERRANEAN SHIPPING COMPANY,GUAYAQUIL,AGENTE PROPIO,14,01/01/2026,31/01/2026,TRANSMEC DE BORTOLI GROUP ESPAÑA                                                                    ,TRANSMEC,30-32,EUROS,"€ 1,398.00",,"€ 2,396.00","€ 2,396.00",
BARCELONA,ZIM INTEGRATED SHIPPING SERVICES,GUAYAQUIL,AGENTE PROPIO,14,01/01/2026,31/01/2026,TRANSMEC DE BORTOLI GROUP ESPAÑA                                                                    ,TRANSMEC,50-52,DOLAR,"$ 1,180.00",,"$ 2,050.00","$ 2,050.00",
